q1,q2,q3,q4,q5
0.289513545,0.239675269,-0.658855220,0.419179951,1.570796327
0.291873701,0.223844583,-0.647688446,0.423843863,1.570796327
0.293958917,0.207446275,-0.636052190,0.428605915,1.570796327
0.295768151,0.190501930,-0.623901797,0.433399867,1.570796327
0.297300512,0.173035876,-0.611196222,0.438160347,1.570796327
0.298555259,0.155075420,-0.597898979,0.442823559,1.570796327
0.299531789,0.136651072,-0.583979052,0.447327980,1.570796327
0.300229638,0.117796742,-0.569411797,0.451615055,1.570796327
0.300648479,0.098549939,-0.554179830,0.455629891,1.570796327
0.300788114,0.078951986,-0.538273942,0.459321956,1.570796327
0.300648479,0.059048267,-0.521694072,0.462645805,1.570796327
0.300229638,0.038888543,-0.504450385,0.465561842,1.570796327
0.299531789,0.018527356,-0.486564519,0.468037163,1.570796327
0.298555259,-0.001975401,-0.468071097,0.470046498,1.570796327
0.297300512,-0.022553730,-0.449019598,0.471573328,1.570796327
0.295768151,-0.043134472,-0.429476761,0.472611233,1.570796327
0.293958917,-0.063635882,-0.409529703,0.473165585,1.570796327
0.291873701,-0.083965687,-0.389290003,0.473255690,1.570796327
0.289513545,-0.104018488,-0.368899063,0.472917551,1.570796327
0.286879651,-0.123672324,-0.348535088,0.472207412,1.570796327
0.283973385,-0.142784260,-0.328421987,0.471206247,1.570796327
0.280796289,-0.161184937,-0.308840291,0.470025228,1.570796327
0.277350085,-0.178672372,-0.290139555,0.468811927,1.570796327
0.273636691,-0.195005959,-0.272750310,0.467756269,1.570796327
0.269658221,-0.209902957,-0.257191026,0.467093983,1.570796327
0.265417005,-0.223041686,-0.244061643,0.467103329,1.570796327
0.260915592,-0.234077494,-0.234011528,0.468089022,1.570796327
0.256156764,-0.242676900,-0.227671105,0.470348005,1.570796327
0.251143548,-0.248568511,-0.225549896,0.474118407,1.570796327
0.245879224,-0.251596442,-0.227929607,0.479526049,1.570796327
0.240367339,-0.251752122,-0.234800408,0.486552530,1.570796327
